date,sun_mj_m2_day,t2m_c,rh2m_pct,rain_mm
2025-07-24,28.77,32.77,45.99,0.0
2025-07-25,28.75,32.26,52.19,0.0
2025-07-26,28.53,33.62,49.64,0.0
2025-07-27,28.17,32.88,50.3,0.0
2025-07-28,28.12,32.12,49.45,0.0
2025-07-29,27.95,30.59,54.74,0.0
2025-07-30,28.18,29.37,56.57,0.0
2025-07-31,27.15,29.41,54.34,0.0
2025-08-01,26.36,29.86,54.85,0.0
2025-08-02,26.62,29.78,56.84,0.11
2025-08-03,27.74,30.63,46.99,0.0
2025-08-04,27.26,30.71,51.61,0.03
2025-08-05,27.42,30.0,52.79,0.0
2025-08-06,27.75,30.11,52.0,0.0
2025-08-07,27.7,29.22,54.35,0.0
2025-08-08,27.29,30.1,55.67,0.01
2025-08-09,27.21,31.82,51.58,0.0
2025-08-10,26.9,33.49,44.76,0.0
2025-08-11,26.7,33.41,48.47,0.01
2025-08-12,26.19,33.26,49.4,1.17
2025-08-13,26.25,33.42,48.17,0.1
2025-08-14,26.43,33.19,50.16,0.0
2025-08-15,26.63,32.21,52.19,0.0
2025-08-16,26.29,30.46,53.21,0.0
2025-08-17,26.71,29.68,51.95,0.0
2025-08-18,26.33,30.83,48.02,0.0
2025-08-19,26.07,32.9,40.89,0.0
2025-08-20,26.15,30.93,49.26,0.0
2025-08-21,26.25,30.81,50.36,0.0
2025-08-22,26.21,30.65,52.27,0.0
2025-08-23,26.09,31.57,50.93,0.0
2025-08-24,26.0,31.39,52.79,0.0
2025-08-25,25.68,30.03,51.42,0.0
